
date_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
tag: mobile2_emore_v1
pretrain: 
per_batch_size: 128
save: 1, max_steps: 350000, lr: 0.10000, verbose: 1000, margin_a: 1.00, margin_m: 0.30, margin_b: 0.20

version_se: 0
do_save: True
verbose: 1000
cutoff: 0
version_input: 1
rand_mirror: 1
emb_size: 512
ckpt: 1
tag: mobile2_emore_v1
num_layers: 2
use_deformable: 0
config_dir: /home/meiyiyang/Face/insightface/output/config
ctx_num: 4
do_save_threshold: 0.99
scale: 0.9993
data_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
network: m2
margin_s: 64.0
center_alpha: 0.5
version_act: prelu
result_dir: /home/meiyiyang/Face/insightface/output/result
beta_freeze: 0
lr: 0.1
triplet_bag_size: 3600
margin_m: 0.3
num_classes: 85742
end_epoch: 100000
margin_a: 1.0
triplet_max_ap: 0.0
lr_steps: 
log_dir: /home/meiyiyang/Face/insightface/output/log
last_epoch: 0
loss_type: 4
wd: 0.0005
power: 1.0
version_unit: 3
batch_size: 512
beta: 1000.0
mom: 0.9
margin_b: 0.2
triplet_alpha: 0.3
easy_margin: 0
version_output: E
image_channel: 3
gamma: 0.12
target: lfw,classify_megaface
image_w: 112
rescale_threshold: 0
images_per_identity: 0
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
fc7_wd_mult: 1.0
per_batch_size: 128
beta_min: 5.0
center_scale: 0.003
pretrained: 
fine_tune: 0
image_h: 112
max_steps: 350000
margin: 4
bn_mom: 0.9

20181026-154615	29000	29	0.1000	lfw	0.98267	0.00578	0.91833	0.01572	classify_megaface	0.84007	0.00000	0.00000	0.00000	
20181026-155716	30000	30	0.1000	lfw	0.98333	0.00615	0.93333	0.01653	classify_megaface	0.86377	0.00000	0.00000	0.00000	
20181026-160815	31000	31	0.1000	lfw	0.98317	0.00540	0.90500	0.02083	classify_megaface	0.84233	0.00000	0.00000	0.00000	
20181026-161904	32000	32	0.1000	lfw	0.98383	0.00592	0.91400	0.02274	classify_megaface	0.86036	0.00000	0.00000	0.00000	
20181026-163147	33000	33	0.1000	lfw	0.98417	0.00549	0.94267	0.01937	classify_megaface	0.85823	0.00000	0.00000	0.00000	
20181026-164216	34000	34	0.1000	lfw	0.98233	0.00549	0.92367	0.02465	classify_megaface	0.85694	0.00000	0.00000	0.00000	
20181026-165245	35000	35	0.1000	lfw	0.98383	0.00699	0.95067	0.01698	classify_megaface	0.86109	0.00000	0.00000	0.00000	
20181026-170314	36000	36	0.1000	lfw	0.98200	0.00567	0.92700	0.01754	classify_megaface	0.83174	0.00000	0.00000	0.00000	
20181026-171345	37000	37	0.1000	lfw	0.98083	0.00757	0.90900	0.02261	classify_megaface	0.85008	0.00000	0.00000	0.00000	
20181026-172413	38000	38	0.1000	lfw	0.98400	0.00655	0.94467	0.01887	classify_megaface	0.86158	0.00000	0.00000	0.00000	
20181026-173450	39000	39	0.1000	lfw	0.98617	0.00597	0.94733	0.02102	classify_megaface	0.87205	0.00000	0.00000	0.00000	
20181026-174555	40000	40	0.1000	lfw	0.98300	0.00547	0.93500	0.01721	classify_megaface	0.84110	0.00000	0.00000	0.00000	
20181026-175715	41000	41	0.1000	lfw	0.98050	0.00687	0.94933	0.01818	classify_megaface	0.83555	0.00000	0.00000	0.00000	
20181026-180812	42000	42	0.1000	lfw	0.98233	0.00735	0.93600	0.01611	classify_megaface	0.86802	0.00000	0.00000	0.00000	
